충전소,충전기ID,충전기타입,주소,이용가능시간
목포시 한성타워맨션,3,AC완속,전라남도 목포시 원산로 59번길 14 ,24시간 이용가능
목포시 한성타워맨션,4,AC완속,전라남도 목포시 원산로 59번길 14 ,24시간 이용가능
목포시 호반리젠시빌스위트,1,AC완속,"전라남도 목포시 용당로331번길 88 1P B2,2P B2,3P B2,4P B1",24시간 이용가능
목포시 호반리젠시빌스위트,2,AC완속,"전라남도 목포시 용당로331번길 88 1P B2,2P B2,3P B2,4P B1",24시간 이용가능
목포시 호반리젠시빌스위트,3,AC완속,"전라남도 목포시 용당로331번길 88 1P B2,2P B2,3P B2,4P B1",24시간 이용가능
목포시 호반리젠시빌스위트,4,AC완속,"전라남도 목포시 용당로331번길 88 1P B2,2P B2,3P B2,4P B1",24시간 이용가능
목포시 호텔야자목포평화광장점,1,AC완속,전라남도 목포시 하당남부로61번길 3 주차장,24시간 이용가능
목포오션호텔,1,AC완속,전라남도 목포시 해안로279번길 3 ,24시간 이용가능
목포오션호텔,2,AC완속,전라남도 목포시 해안로279번길 3 ,24시간 이용가능
부영애시앙일차아파트,1,AC완속,"전라남도 목포시 당가두로13번길 35 (옥암동, 부영애시앙) ",
부영애시앙일차아파트,2,AC완속,"전라남도 목포시 당가두로13번길 35 (옥암동, 부영애시앙) ",
부영애시앙일차아파트,3,AC완속,"전라남도 목포시 당가두로13번길 35 (옥암동, 부영애시앙) ",
삼학119안전센타,1,AC완속,전라남도 목포시 삼학로 218 (산정동),24시간 이용가능
삼학119안전센타,2,AC완속,전라남도 목포시 삼학로 218 (산정동),24시간 이용가능
새한의료재단 목포성심요양병원,1,AC완속,전라남도 목포시 산계길 4-9 새한의료재단 목포성심요양병원,08:00~20:00
새한의료재단 목포성심요양병원,2,AC완속,전라남도 목포시 산계길 4-9 새한의료재단 목포성심요양병원,08:00~20:00
새한의료재단 목포성심요양병원B,1,AC완속,전라남도 목포시 산계길 4-9 새한의료재단 목포성심요양병원,08:00~20:00
새한의료재단 목포성심요양병원B,2,AC완속,전라남도 목포시 산계길 4-9 새한의료재단 목포성심요양병원,08:00~20:00
서희스타힐스,1,AC완속,전라남도 목포시 영산로 719-29 ,00:00~24:00
서희스타힐스,2,AC완속,전라남도 목포시 영산로 719-29 ,00:00~24:00
서희스타힐스,3,AC완속,전라남도 목포시 영산로 719-29 ,00:00~24:00
