fetched_at,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,busiId
2026-09-15T08:12:19.606842+00:00,CR000244,04,3,20260915170413,20260915170413,20260915170324,20260915170413,CR
2026-09-15T08:12:19.606842+00:00,CR000260,01,2,20260915171111,20260915004024,20260915004356,,CR
2026-09-15T08:12:19.606842+00:00,CRCR0030,01,2,20260915170343,20260915164833,20260915170343,,CR
2026-09-15T08:12:19.606842+00:00,CRCR0030,02,2,20260915170914,20260915164852,20260915170914,,CR
2026-09-15T08:12:19.606842+00:00,CSSGI012,01,2,20260915170822,20260913233109,20260915170822,,CS
2026-09-15T08:12:19.606842+00:00,CV000289,02,2,20260915170517,20260915081345,20260915152634,,CV
2026-09-15T08:12:19.606842+00:00,CV000643,02,3,20260915171018,20260915170629,20260915170632,20260915171018,CV
2026-09-15T08:12:19.606842+00:00,CV000643,04,2,20260915170518,20260915160251,20260915170137,,CV
2026-09-15T08:12:19.606842+00:00,CV000781,02,2,20260915170518,20260915160322,20260915170323,,CV
2026-09-15T08:12:19.606842+00:00,CV000826,01,2,20260915170519,20260915164852,20260915170051,,CV
2026-09-15T08:12:19.606842+00:00,CV000826,04,2,20260915170552,20260915162936,20260915170048,,CV
2026-09-15T08:12:19.606842+00:00,CV000857,04,2,20260915170519,20260915113820,20260915122854,,CV
2026-09-15T08:12:19.606842+00:00,CV000857,05,3,20260915170519,20260915170130,20260915170132,20260915170519,CV
2026-09-15T08:12:19.606842+00:00,CV000883,02,3,20260915171019,20260915170701,20260915170703,20260915171019,CV
2026-09-15T08:12:19.606842+00:00,CV000963,01,3,20260915170520,20260915170053,20260915170059,20260915170520,CV
2026-09-15T08:12:19.606842+00:00,CV000993,02,2,20260915171020,20260915121949,20260915170820,,CV
2026-09-15T08:12:19.606842+00:00,CV001050,01,2,20260915171021,20260915171014,20260915171013,,CV
2026-09-15T08:12:19.606842+00:00,CV001061,01,2,20260915171021,20260915080157,20260915170722,,CV
2026-09-15T08:12:19.606842+00:00,CV001087,01,2,20260915171021,20260915161105,20260915170507,,CV
2026-09-15T08:12:19.606842+00:00,CV001098,02,3,20260915171021,20260915144233,20260915151542,20260915171021,CV
2026-09-15T08:12:19.606842+00:00,CV001112,07,2,20260915170527,20260915163922,20260915170336,,CV
